sym,date,amt,portfolio
ATOM,2021-06-04,0.018596,COINBASE
ATOM,2021-05-28,0.003303,COINBASE
ALGO,2021-05-22,0.005841,COINBASE
ALGO,2021-05-23,0.015319,COINBASE
ALGO,2021-05-24,0.020812,COINBASE
ALGO,2021-05-25,0.035596,COINBASE
ALGO,2021-05-26,0.00356,COINBASE
ALGO,2021-05-27,0.035606,COINBASE
ALGO,2021-05-28,0.035612,COINBASE
ALGO,2021-05-29,0.035617,COINBASE
ALGO,2021-05-30,0.035623,COINBASE
ALGO,2021-05-31,0.035628,COINBASE
ALGO,2021-06-01,0.035634,COINBASE
ALGO,2021-06-02,0.03564,COINBASE
ALGO,2021-06-03,0.035646,COINBASE
ALGO,2021-06-04,0.035651,COINBASE
ALGO,2021-06-05,0.035657,COINBASE
FIL,2021-05-31,0.00217198,GEMINI
SUSHI,2021-05-31,0.00700747,GEMINI
BTC,2021-05-31,0.00000252,GEMINI
LTC,2021-05-31,0.00122856,GEMINI
UNI,2021-05-31,0.00427692,GEMINI
MANA,2021-05-31,0.05756994,GEMINI
MKR,2021-05-31,0.00001762,GEMINI
LINK,2021-05-31,0.00410964,GEMINI
DOGE,2021-05-31,0.30198083,GEMINI
BAT,2021-05-31,0.12412634,GEMINI
COMP,2021-05-31,0.0001463,GEMINI
AMP,2021-05-31,0.87075071,GEMINI
1INCH,2021-05-31,0.01266219,GEMINI
GRT,2021-05-31,0.08192179,GEMINI
ZRX,2021-05-31,0.09647564,GEMINI
ETH,2021-05-31,0.00005843,GEMINI
UMA,2021-05-31,0.00287862,GEMINI
OXT,2021-05-31,0.1401286,GEMINI
