sym,date,spent,surcharge,amt,call,portfolio,reference
ALGO,2021-09-17,$50.00,$0.25,25.687,BUY,BINANCE,46f13284104c404897dd5a6d70bd595e
ONE,2021-09-17,$250.00,$1.25,1639.9,BUY,BINANCE,4914b0a1b8c0423c89f51080a4d34941
UST,2021-09-17,$0.00,$0.00,50.0,BUY,TERRA,CAEF851FE22F0329F52130FCC427CAB5128F500A34D4CB3F7CC0347453FDA24E
