sym,date,amt,portfolio,surcharge,reference,memo
JEWEL,2021-11-19,4.160818454,HARMONY,$0.05,0x3cb930786053a77fc6964d8755a7e41831eb0d457848f6e546c9c96fec0b7105,JEWEL harvest
MIS,2021-11-19,0.8086134508,HARMONY,$0.00,0xf7d07c6dfc6f8f0469ee489012bb1f4582862ada9cf219a1bda221b5ec36abf8,MIS LP claim
MIS,2021-11-19,0.2302004518,HARMONY,$0.00,0xa4878928d82462be2d17fcd76e0edccd735059448f6ccdc0e07c27bfb7936d9d,MIS LP claim
MIS,2021-11-19,0.8265121573,HARMONY,$0.00,0x87e14d24782f11e875cc2d9e485abcefbd94ba38f7196016e0de61b858f00abb,MIS LP claim
MIS,2021-11-19,0.3984640514,HARMONY,$0.00,0xfc494bb97fc945c43178dd35f3ab045d08a526d6d473db881bd0ef5377439a0d,MIS LP claim
MIS,2021-11-19,1.023171922,HARMONY,$0.00,0x6b13676e3dcb9f850357d14fd50d4fc9aad58840e07db66fd3947397a6d687bd,MIS LP claim
MIS,2021-11-19,0.2941374342,HARMONY,$0.00,0x55e61a74b14f40152512a7c3967655d67cc72ec5bb25f55b709a9d347ce97fad,MIS LP claim
MIS,2021-11-19,1.914180717,HARMONY,$0.00,0xc72b9171f7a75b6c7078abc8a67e7300724e51427b1fafe16dee17fbf1b2ff19,MIS LP claim
FOX,2021-11-19,0.1116793799,HARMONY,$0.00,0x3aecd3f30c32f8bbf1fccf66ea4193bd8c63982a6a025eed4b1bbe4dd75a4e48,FOX incubator (MIS-FOX)
MIR,2021-11-19,0.057588,TERRA,$0.04,05E55F22083290D98D4CB63AFDBEB2588EB2A172AAAA05F524AA5D6BFC17722C,MIR airdrop
ANC,2021-11-19,10.173894,TERRA,$0.25,7BA307F8683C661A8435CBE33DAEA6F39884EC47C6F7470877A484CE873C368D,ANC loan claim
RVRS,2021-11-19,0.817526057,HARMONY,$0.00,0xf4d083f8375c8e3429101e3d2ed641218db3c9c86fc0f1ea804f29bed63cdd01,RVRS incubator (MIS)
RVRS,2021-11-19,2.436419856,HARMONY,$0.00,0xb692a68aa8e07f922ca32394e877be8ef62674ec3c3234c48dc2f98ab4d4dd9b,UST bond
RVRS,2021-11-19,0.5824840045,HARMONY,$0.00,0x42b4e272fe1173e03f95950ed8957fd9212cd02ed5a00571894ed64f96e34533,RVRS & ONE bond
RVRS,2021-11-19,1.398249073,HARMONY,$0.00,0x1e78c1bcabfae2d1fc57799bea604a00bcfaf26c07b7daf1c5728e0a2c3bdf41,RVRS & UST bond
