sym,date,amt,portfolio,surcharge,reference,memo
PSI,2021-11-14,86.812041,TERRA,$0.03,D3943091152A3089AFC15D636A0992D53EE65909062DDAEAA6596F451BCD88ED,PSI airdrop
PSI,2021-11-14,0.557635,TERRA,$0.06,9C0C6066F387DE2B11B429BAA3196ACF298C2B10F05FE65BA25C27C2661967C8,PSI staked claim
PSI,2021-11-14,2.670287,TERRA,$0.00,9C0C6066F387DE2B11B429BAA3196ACF298C2B10F05FE65BA25C27C2661967C8,PSI staked claim
PSI,2021-11-14,12.129748,TERRA,$0.05,9E31FDF0AD3714FB4F7FF7355A6E57C708D6DD5E220972DFA8F69F60BDF8E3D7,PSI LP claim
PSI,2021-11-14,23.327596,TERRA,$0.00,9E31FDF0AD3714FB4F7FF7355A6E57C708D6DD5E220972DFA8F69F60BDF8E3D7,PSI LP claim
RVRS,2021-11-14,1.220135204,HARMONY,$0.01048727,0x968985d2b949b1f14c75a42cf386ff687bf0bf99d208107c8a398c97ff5ec51a,MIS incubator
RVRS,2021-11-14,0.6426614135,HARMONY,$0.00,0xc6840086eec1235a584798d730c83228de914c0561fbac8bd7081cda0a2cad9d,RVRS incubator
RVRS,2021-11-14,1.862796618,HARMONY,$0.00,0x5e009c2bd2d7bd70cf4b4d656072893a24b32c11e382ac0c5a5279288bfa9c90,RVRS LP claims
RVRS,2021-11-14,0.0005926890636,HARMONY,$0.00,0x5e009c2bd2d7bd70cf4b4d656072893a24b32c11e382ac0c5a5279288bfa9c90,RVRS LP claims
MIS,2021-11-14,2.235942626,HARMONY,$0.01,0x4cdd3d8e88bd1fc2af341630c738be12d0e01e7ed9ff3f829532d62f71050ce7,MIS LP claim
MIS,2021-11-14,0.8266617395,HARMONY,$0.01,0x8a20d47fcf2059394e0effff479381c6beedb4ccd7135ab2bf04e81985e0ff5e,MIS LP claim
MIS,2021-11-14,2.582543841,HARMONY,$0.01,0x2c8be92c3bd9dc6971ef1f8ffb46e45ee9b0c73357e41aef0e2dd85562da1692,MIS LP claim
MIS,2021-11-14,1.255441712,HARMONY,$0.01,0x41957ec69eaec096fb3a43f7bba986064bf25f268711147aee50b5bcd0b6143a,MIS LP claim
MIS,2021-11-14,1.304052495,HARMONY,$0.01,0x786c7b85eb0aa4c444839c0a0850527a878f2495cd4aab949c0053f99cc910e3,MIS LP claim
MIS,2021-11-14,0.4169064741,HARMONY,$0.01,0xc663d63f2a9ef7aa9755e3e2edaaffc451f2ec168121f4017464215a1e594205,MIS LP claim
MIS,2021-11-14,5.309043338,HARMONY,$0.01,0x045bccba89b636d11c2c89a19669fed856fc3ebeb5b1c808473a3e6f9d38d0d0,MIS LP claim
TFLOKI,2021-11-14,11.990564,TERRA,$0.40,83CF8535D6AA4004C66B5884523BC765FFA7E0111E3EF22286C0F98BB1B5B741,TFLOKI LP claim
ORION,2021-11-14,8.399937223,BINANCE,$0.26,0x284492571774e5204928adf19b5ecfb899acdf1200fa150878e683a904528fc9,Orion LP claim
ORION,2021-11-14,1.731274984,BINANCE,$0.23,0x629de5e6e719c13232f9e2cbbad97c1cb0823054daee3bf54670245d1e3fc25f,Orion staked claim
RVRS,2021-11-14,0.5579843027,HARMONY,$0.01,0x471f2ea83dc41659816e6a9fbce725d53a4501a128e4e1a460fecdd83396daf7,RVRS LP claims
RVRS,2021-11-14,0.5813947744,HARMONY,$0.01,0x399fdef374984ea8c9dcee0ca673ab51a0cb548e194b9cb12532720b32a9352b,RVRS LP claims
RVRS,2021-11-14,0.2616224613,HARMONY,$0.01,0x2fad29483fb627b29289c2da413bc340f1d978f4818d0c70aaaaa6d530d58d0c
ONE,2021-11-14,14.1962,HARMONY,$0.01,0x693f1ddbd71b8973be294b28b75664e9b6e2c7662f8cd3214b1e51a36cc3f69d,Validator staking awards
ONE,2021-11-14,8.1,HARMONY,$0.01,0x693f1ddbd71b8973be294b28b75664e9b6e2c7662f8cd3214b1e51a36cc3f69d,Harmony Whales
ANC,2021-11-15,0.159457,TERRA,$0.05,23B3D94A0B33954D94C45492798E99E4946D0F52892DC9DC767D36BBAA550DB2,ANC airdrop
VKR,2021-11-15,0.159565,TERRA,$0.05,2A1D73164C745A8088FB8F670CCC8CFB354E4AB18D7F9928030C7086E544D33A,VKR airdrop
