sym,date,amt,portfolio,surcharge,reference
VKR,2021-10-13,8.049325,TERRA,$0.14,21B11E9F173F623D58C1F87D903A29D88966B769718EE58B08896D8B372865AE
VKR,2021-10-13,20,TERRA,$0.68,06AE05D1D099E51D73B4E9755B3606DE6939668298878FE62EB5A590F78E50EB
ONE,2021-10-13,19,HARMONY,$0.01,0x097351a190d18f7bdf0d05cf9d14515c7bff72e4dd29765f561df2394e98b9f2
ONE,2021-10-13,38,HARMONY,$0.00,0x5b2db36b9f0a7699c9d561ec068dd18f87bd65808ecbfb714a784c457e0b2491
LOOP,2021-10-13,48,TERRA,$0.30,B047ACE7EC7E2C4DC4608A236FFF9E0A8F18B3A9679477BFA6C5A3EFBACB121E
STT,2021-10-14,5.809684,TERRA,$0.55,4AD60E7732FDC353E0F820031FE5767699C49A34EEFE4A43904EC68E6F5BB706
ANC,2021-10-14,10.174092,TERRA,$0.76,E8B515880713F0B7DA1CEC89F9FF0B16F5A990495829E36C2484814826FF9C8A
