sym,date,amt,portfolio,surcharge,reference,memo
TRANQ,2021-11-29,20.94759463,HARMONY,$0.00,0x27bf7f7a04e6e0a077e1d43cd7c9357582a91c646e3edfc9a50e91886956020e,xTRANQ stake claim
WAGMI,2021-11-29,0.05,HARMONY,$0.00,n-a,WAGMI twitter contest
JEWEL,2021-11-29,1.05,HARMONY,$0.00,0xe760f4947cdff4b1fde017931d689dd588b00f2d2a20c31bd3a56e2f8f896d84,JEWEL harvest
VIPER,2021-11-29,2.011973735,HARMONY,$0.00,0xbee5971801464632d314983e57057befe41c1dfcfa2ed7f8b2f40622059bb320,xVIPER stake
RVRS,2021-11-29,3.075452061,HARMONY,$0.00,0x87ef625b42bffe39ccb4c533bade5b8dbf6c3708fb573374bceadfc340c03f4e,UST pool
RVRS,2021-11-29,0.6974135822,HARMONY,$0.00,0x28afd6fe9253e33fe9895ecb79ef4816aab4d9f607f3486f97114878118d42cc,RVRS & ONE pool
MIS,2021-11-29,1.180118454,HARMONY,$0.00,0x13d9c04195da167e9912b5b673a2553e22acf9124c49c676a960c8ea8e59ff8d,MIS LP claim
MIS,2021-11-29,0.2527760042,HARMONY,$0.00,0x7bae4b500380112ee22c198190cab1f176b5d0a22d699e4d2e8080f89bf63cc2,MIS LP claim
MIS,2021-11-29,0.9182219402,HARMONY,$0.00,0xff9e5875d8c6f605c1debb73bd950c23296834ad2475d8ce46751e22b198613f,MIS LP claim
MIS,2021-11-29,0.4552073914,HARMONY,$0.00,0x8f5d6d101f65ca417ca34dd2b54b3f6f945a3f71ed90b72970c98457b4b1ffac,MIS LP claim
MIS,2021-11-29,0.4143522699,HARMONY,$0.00,0x39a7c958b9640b65036e17ef577a95696f7069979b8b4db90e81c2c30ff3d994,MIS LP claim
MIS,2021-11-29,2.234799531,HARMONY,$0.00,0xfb39c28949bc17a1b9a0997ff42cb83bdefd9bd9c124d09852326d8509303fac,MIS LP claim
FOX,2021-11-29,0.1573006815,HARMONY,$0.00,0x4592a9c8734980d922002a3314fd59eef9e292c1913033cc1f0639da2e082610,FOX incubator (MIS-FOX)
PSI,2021-11-29,0.875208,TERRA,$0.03,8F2D1CB840E5FE02D8D93B2FFE44AE6A165F93AF2063D4C0AAEBAB310047F5E7,PSI LP claim
ANC,2021-11-29,3.233596,TERRA,$0.25,2B843313A19BAB15AA59DAE4825D5E292597D7855625413024AA15EF186EE61E,ANC loan claim
