sym,date,amt,portfolio,surcharge,reference
PSI,2021-11-02,24.486983,TERRA,$0.05,AA1E0073122767C3B4CCB85CFF23C155CF76A0C11077215101F60C34A7B4854B
TFLOKI,2021-11-02,13.96316,TERRA,$0.40,513FC220253488CA3B66D194B74CA8CFB131B73DBEF15E410DCA128E10E7A621
