call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-18,3.24570825,LUNA,COINBASE,IPHONE,0.14489833,LUNA,$100.00
XFER,2021-08-18,3.10081,LUNA,IPHONE,TERRA,0.0021621,ETH,$100.00
XFER,2021-08-18,3.34699595,LUNA,COINBASE,IPHONE,0.11018397,LUNA,$100.00
XFER,2021-08-18,3.236812,LUNA,IPHONE,TERRA,0.001921867,ETH,$100.00
