call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-11-15,0.204156531,SOL,COINBASE,BINANCE,0.000005,SOL,$50.00
XFER,2021-11-15,350,UST,TERRA,HARMONY,1.013866,UST,$350.00,EBD0562D13AE71ACE3427EB071E2F248AFA9DE77189EC7AB421692F3D63CB1D4
