sym,date,spent,surcharge,amt,call,portfolio,reference
LUNA,2021-08-25,$100.00,$2.99,3.23591563,BUY,COINBASE,7DFAV89W
ALGO,2021-08-25,$100.00,$2.99,90.256804,BUY,COINBASE,JNJCUSFL
ZRX,2021-08-25,$50.00,$0.25,43.98,BUY,BINANCE
