sym,date,amt,portfolio,surcharge,reference
PSI,2021-10-25,39.106238,TERRA,$0.03,B5AC3A6D1FA41ECBB4856F56203945452018DDE726202E6C6B759B78EB01576C
VKR,2021-10-25,10.348272,TERRA,$0.23,7DB178DB3251BFD5865FE7B806372C58A0868B8C8EC69A4CDAC8C3B0CE6EB419
ANC,2021-10-25,10.199961,TERRA,$0.25,D0214F25C842640374E4585806ECFE2B5FC60C46CD2839DA26B21546DB0FC6D7
