call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-08,44.94193309,MIR,COINBASE,IPHONE,0.79388529,MIR,$100.00
XFER,2021-08-08,44.148048,MIR,IPHONE,TERRA,0.00176171,ETH,$100.00
