call,date,amount,coin,from,to,surcharge,basis
XFER,2021-09-10,1996.957149,DOGE,GEMINI,BINANCE,0.0,DOGE,$600.00
XFER,2021-09-10,128.088058,ALGO,COINBASE,BINANCE,0.002,ALGO,$300.00
