sym,date,amt,portfolio,surcharge,reference,memo
UST,2021-11-08,296.86,TERRA,$0.10,0BB6627B119C3AF88CF4A58D2DF0F742C2F79C62E826FB085C9E028FEF3AC0D8,Unlock UST from mHOOD short
MIR,2021-11-08,0.005017,TERRA,$4.50,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.015349,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.057464,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.056365,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.056187,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.055582,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.055113,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.054917,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
MIR,2021-11-08,0.055118,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.028158,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.156782,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.158979,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.158236,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.142735,TERRA,$0.00,9B3AF781B7FC1DB2C0A114E8CFC6013C3581D95239D7EE405601ED879884169E,Terra Drop airdrop claims
ANC,2021-11-08,0.155531,TERRA,$4.50,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
ANC,2021-11-08,0.152751,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
ANC,2021-11-08,0.152877,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
ANC,2021-11-08,0.153794,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
MINE,2021-11-08,1.681628,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
MINE,2021-11-08,1.659814,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
MINE,2021-11-08,1.657352,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
MINE,2021-11-08,1.662951,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
MINE,2021-11-08,1.67542,TERRA,$0.00,4CB0490463AC1EBFCB3CBA6E1801C0A3450754C3E98FD5EE01E82D9B7923CD7B,Terra drop airdrop claim
