sym,date,amt,portfolio,surcharge,reference
ANC,2021-11-01,9.787403,TERRA,$0.25,C3784307AAF8579F24196444A0A627082B22778F04E6EABDEF98EA94E85E28A0
PSI,2021-10-31,98.415092,TERRA,$0.03,3CFE98276CEFAD86C52C269F464209AA2B7F8CFCFC4EDF5F82C37DF11573E50C
ORN,2021-10-31,10,COINBASE
