call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-10-19,51.822614,UST,HARMONY,TERRA,0.00037871,ONE,$50.00,0x00fd4a4e58c0260ac00caaf4ac618d476b1bcc3b69745b9008d4ec375b784798
XFER,2021-10-20,26.699536,UST,HARMONY,TERRA,0.00037859,ONE,$25.00,0x404c262a6cd2f1a35eddbc736bca81d504b6f1b8c20d9cd0d30e7630a4bb2dd7
XFER,2021-10-20,105,UST,TERRA,BINANCE,1.45583,UST,$105.00,76C84B439F0FF46AE2BC16BFCDE4BA574F752E2F191368675CA30B9DCDF44FD7
XFER,2021-10-20,105,UST,TERRA,BINANCE,1.45583,UST,$105.00,719D0FFEECBAD3383BCB7AAF0535AAA0D6C76DA8ABBF0B570CE582A58E20EE0B
XFER,2021-10-20,131,SPS,BINANCE,HIVE,0.000218225,BNB,$100.00,0xef4b7f080157e0a11d69d2d5df54d3f8da09392fd8e286e300a2be5e6fe0aa71
XFER,2021-10-20,7440,DEC,BINANCE,HIVE,0.00019825,BNB,$100.00,0x5a31f3e5a7d120ec5a407db0d2d568ad40e5a9af42b1ddcdab8a6122262bf226
XFER,2021-10-20,600,UST,TERRA,HARMONY,2.453971,UST,$600.00,BFD609554E9A38EB25AF27D33BD6843979634A8B66C6DB3A9BDD3B24C275D314
XFER,2021-10-20,500,UST,TERRA,HARMONY,2.453971,UST,$500.00,AFD461776D37E8F8ADE2BA938803EF1EE2DB93279815E3A9A8EF9EB801393593
XFER,2021-10-22,100,UST,HARMONY,TERRA,0.00037859,ONE,$100.00,0x9621bf3370a4b9b135b41cff863af89e4aeec81b8406c0bc0d1191043ff618a3
XFER,2021-10-23,92,UST,TERRA,BINANCE,1.37644,UST,$92.00,66729572C1B61C8B9D5837341D56E6BF831E45F28E54C510FFB353074FA76DE0
