sym,date,spent,surcharge,amt,call,portfolio
BNB,2021-05-17,$100.00,$0.50,0.19,BUY,BINANCE
BNB,2021-05-17,$100.00,$0.50,0.19,BUY,BINANCE
SKL,2021-05-17,$0.00,$0.00,2.03252033,BUY,COINBASE
SKL,2021-05-17,$0.00,$0.00,2.03873598,BUY,COINBASE
SKL,2021-05-17,$0.00,$0.00,2.03873598,BUY,COINBASE
