call,date,amount,coin,from,to,surcharge,basis
XFER,2021-07-13,1.43180352,COMP,GEMINI,COINBASE,0,$100.00
XFER,2021-07-13,321.5144054,MANA,GEMINI,COINBASE,0,$200.00
