sym,date,amt,portfolio,surcharge,reference
ANC,2021-09-11,4.822486,TERRA,$0.76,D2DCE2FDC9CF46EF34DFD0E2B80D366D4AB640E8283B7D538E188021F877A71A
STT,2021-09-10,20.92,TERRA,$0.00,4FD54713D329B6205444D96041178C29907C1BA5E113FD9201037492AC3D29B3
STT,2021-09-10,0.57,TERRA,$0.55,81650F6ACB8F16B4B0CA24B6C5956944F18E515164D9055EA3B5458CEEA6994C
MINE,2021-09-10,114.914922,TERRA,$0.22,A4A1B06FCBFE76AB784D0A617435A3F541EE16B4B1C4A130D4310DD82AFC0E25
MIR,2021-09-10,2.396956,TERRA,$0.60,B023EA02DFB8832AAA1AD3EBD05B9E78687F14B23B2A3030E5D2119A21B492CC
ANC,2021-09-10,12.234152,TERRA,$0.76,710C46DFA4539664FAAA718FC64612E850AC36B9D6E3DA34188E002FFA8DA8FD
