call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-27,15.07652801,LUNA,COINBASE,IPHONE,0.00899985,ETH,$300.00
XFER,2021-08-27,15.076528,LUNA,IPHONE,TERRA,0.00456292,ETH,$300.00
XFER,2021-08-27,1004.7,ONE,BINANCE,HARMONY,0.001,ONE,$100.00
