sym,date,spent,surcharge,amt,call,portfolio
UST,2021-07-07,$0.00,$0.00,1.764464,SELL,TERRA
UST,2021-07-07,$0.00,$0.00,10.064,BUY,TERRA
UST,2021-07-07,$0.00,$0.00,4.19,BUY,TERRA
