call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-12-06,293.664684,UST,HARMONY,TERRA,0.000037871,ONE,$293.00,0xc326925f38148f8c8d0941c983d568be708a6e8741921495f3eea4152b161ff0
XFER,2021-12-07,97.830109,USDC,HARMONY2,HARMONY,0.000054189,ONE,$100.00,0xf36cad9ee7d693dee982abbed653a6f1cc3f98fe416713ecc2420b2df36aa21d
