sym,date,spent,surcharge,amt,call,portfolio
MATIC,2021-06-01,$0.00,$0.00,0.51111679,BUY,COINBASE
MATIC,2021-06-01,$0.00,$0.00,0.51253139,BUY,COINBASE
MATIC,2021-06-01,$0.00,$0.00,0.51456211,BUY,COINBASE
