call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-14,0.36616084,ETH,COINBASE,IPHONE,0.00083062,ETH,$750.00
XFER,2021-08-14,0.3799293763,ETH,IPHONE,TERRA,0.011219779081906921,ETH,$750.00
