sym,date,spent,surcharge,amt,call,portfolio,reference_code
BTC,2021-05-19,$100.00,$2.99,0.0028609,BUY,COINBASE,HMDLH5BS
LTC,2021-05-19,$100.00,$2.99,0.50277287,BUY,COINBASE,D72RNYJ2
ATOM,2021-05-19,$100.00,$2.99,7.168761,BUY,COINBASE,A8CMUJFY
ENJ,2021-05-19,$100.00,$2.99,78.22314683,BUY,COINBASE,SE22GG2G
