sym,date,amt,portfolio,surcharge,reference,memo
FOX,2021-11-20,0.1687258517,HARMONY,$0.00,0x1ca3795d2a033ade7bb02505582c4ece71eb5c7dedf889c10f381cb70b3894be,FOX incubator (MIS-FOX LP)
RUNE,2021-11-19,46.8,THORCHAIN,$0.00,D7B846EF3FE04B7A785D74EA6DDD17454005AFE6D6905F7FB99E62A79E122AA9,Flipside RUNE bounty
MIS,2021-11-20,1.253861354,HARMONY,$0.01,0xb111b5e3796af1e379db37028cf76b3c16558974ed5fe28198cfe3f5e500388a,MIS LP claim
MIS,2021-11-20,0.359085715,HARMONY,$0.01,0x1fcd78421cd347d953bc36170ca22aace9f408b691c01eb7914108a8f4e41a52,MIS LP claim
MIS,2021-11-20,1.179364966,HARMONY,$0.01,0x458132beced0dc6b6e0a5b8283bc57ca3a4ee5a033d8fc383c2c602a778cc31b,MIS LP claim
MIS,2021-11-20,0.6614705846,HARMONY,$0.01,0x47f99cf633c6fee5e2289464e8392eaa59b408611a8485956d4228d0548d57cf,MIS LP claim
MIS,2021-11-20,1.658102622,HARMONY,$0.01,0x2987a11aa217d3227f9bc4a2c04e87768316f5548b30d759547ddedbbcee9721,MIS LP claim
MIS,2021-11-20,0.4589262464,HARMONY,$0.01,0x10a1e4bd1786e2b973c78bf707f708bc840f6a60a5f570cde891b6cee1334971MIS LP claim
MIS,2021-11-20,3.250970534,HARMONY,$0.01,0x861e67134d13f7a03ba6e71a94f41d3e8affdfa643416ca5c3d7774a92a11ee2,MIS LP claim
RVRS,2021-11-20,1.59313716,HARMONY,$0.00,0x6c436b764a561aaf7ad4724e646103a22275386593c14e5f03eb010595b21053,RVRS incubator (MIS)
RVRS,2021-11-20,3.765227062,HARMONY,$0.01,0x63eddc0702e1963e0855accd1e5ca625a6ad3b8779d34471c8e4f30a580500d3,UST bond
RVRS,2021-11-20,2.490787474,HARMONY,$0.01,0x0cfc151b8b970b3e1221aff08426751a05b4d38138afff08ebed6077ad2fbcdf,RVRS & 1ETH Bond
RVRS,2021-11-20,HARMONY,$0.01,
