sym,date,amt,portfolio,surcharge,reference
ANC,2021-10-29,9.505828,TERRA,$0.25,98E2A44AC0F50FA6234A4FDF77E7768EDE6C02D103DDBF10D836CB752182728A
PSI,2021-10-29,29.1259,TERRA,$0.03,E133613DD36FA3D439B82EBDC08314F90CAF1E752508D0023022A8739599E5F7
