call,date,amount,coin,from,to,surcharge,basis,confirmation
XFER,2021-09-19,200,UST,HARMONY,TERRA,0.00037859,ONE,$200.00,0x0641605a93760a11002a3282511d24ac7c784ff914ec01635676738aaa424400
XFER,2021-09-19,1016.351432,UST,HARMONY,TERRA,0.00037871,ONE,$900.00,0xe227ba7c5af85ed5997f07f8ee01f4447465e77adad40f85b7ef69c568d9b478
XFER,2021-09-20,97.53,UST,COINBASE,IPHONE,5.91,UST,$100
XFER,2021-09-20,91.392214,UST,IPHONE,TERRA,0.002506137869,ETH,$100.00,0xac2ebc079ec5c307bd879617d908719f7cc7e2cb46a7c2da4eb7bf14ee515dfc
XFER,2021-09-20,244.55,UST,COINBASE,IPHONE,2.9,UST,$243.94
XFER,2021-09-20,241.042634,IPHONE,TERRA,0.001320516715,ETH,$243.94,0xa7a38d13c8d74b2a2d486780a62f530bd15e39a961401094014aea263e7cbe32
XFER,2021-09-20,487.64,UST,COINBASE,IPHONE,6.14536971,UST,$500.00
XFER,2021-09-20,481.49,UST,IPHONE,TERRA,0.002347,ETH,$500.00,0x0f7a0184cd69e5c9223636425b350b57e679f59e097b84f8ec1a46517a76b060
XFER,2021-09-21,80.32,UST,BINANCE,TERRA,0.000190055,BNB,$80.00,0x30e5c7b84a6b7d0cc0ff5baa8ecdb4586f3079b5b05f0182651c1c61b2f0403f
