call,date,amount,coin,from,to,surcharge,basis
XFER,2021-07-16,52.86109612,MIR,coinbase,iphone,0.38152197,$150.00
XFER,2021-07-16,375.6850225,GRT,GEMINI,COINBASE,0,$400.00
XFER,2021-07-16,608.0319686,OXT,GEMINI,COINBASE,0,$200.00
XFER,2021-07-16,52.479574,MIR,iphone,terra,0,$150.00
