sym,date,spent,surcharge,amt,call,portfolio,reference_code
AAVE,2021-05-20,$100.00,$2.99,0.20985167,BUY,COINBASE,99CERQTV
MATIC,2021-05-20,$100.00,$2.99,52.08123621,BUY,COINBASE,PJRRHS4S
