call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-12-03,302,UST,TERRA,HARMONY,0.826809,UST,$302.00,A54198ABA2CDB666C84788C7A0AA412338385E81A3AF83C8C8531026937787EA
XFER,2021-12-03,0.4,SOL,BINANCE,PHANTOM,0.00,SOL,$100.00,5H5B4rw5ZvUmS5N1CZnhZwjurWjnFiXCntrp9THuVU1H6KbPts9rJwYsfDfwKKQ5umJXuXQo8QTyVDFJ5eJjvkYh
