sym,date,amt,portfolio,surcharge,reference,memo
VKR,2021-12-02,16.544515,TERRA,$0.23,082418B2982F4EB703454924F331DF95AF9BF9201C72B1B335A7EE9D9733C558,VKR LP claim
MINE,2021-12-02,1.714742,TERRA,$0.04,88E5BC4E36CFC4D754FFD8BF28D0F2D27E9C9C584C49F5ADF0AE1BD7FD637136,LUNA airdrop
SPEC,2021-12-02,0.032423,TERRA,$1.44,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC SPEC stake claim
PSI,2021-12-02,43.575582,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC PSI stake claim
SPEC,2021-12-02,0.017351,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC Nexus farm
PSI,2021-12-02,4.081032,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC Nexus farm
MIR,2021-12-02,0.327573,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC MIR farm
SPEC,2021-12-02,0.02584,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C
PSI,2021-12-02,14.955895,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC Nexus farm
SPEC,2021-12-02,0.768789,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC SPEC stake claim
SPEC,2021-12-02,0.768789,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC TWD farm
SPEC,2021-12-02,0.002256,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC SPEC stake claim
ANC,2021-12-02,0.296039,TERRA,$0.00,A84810ABF448C6433F9BE42B4604F1A80D881DD85834B76D1328674CCFC9044C,SPEC ANC governance
ANC,2021-12-02,5.695655,TERRA,$0.25,CFF66B5A710BE1D5C4CD757F33256B351F7611F7E5BFD716BFF6FAC13931F36D,ANC Loan yield
MIR,2021-12-02,0.083221,TERRA,$0.04,F96C8F8654A6629B6BE0CECB258EC3D23F1A4D675F47B0C1A0B0677D22F807EB,MIR airdrop
PSI,2021-12-02,2.745205,TERRA,$0.06,51BFBDF05A3F07C3279C8EEB35F6A1F6D4C81BD45D2210787C4E1827B46EC016,Nexus nLUNA stake claim
PSI,2021-12-02,5.903016,TERRA,$0.00,51BFBDF05A3F07C3279C8EEB35F6A1F6D4C81BD45D2210787C4E1827B46EC016,Nexus nETH stake claim
TFLOKI,2021-12-02,16.603771,TERRA,$0.40,D643821FA9A2A1F018D418768FC5D5AD1348CA1611CA92B142506F776B84AC4F,TFLOKI LP claim
FOX,2021-12-02,0.2476362965,HARMONY,$0.00,0xa88f6af50c5a10d8367dd5f03949edc5de3abfb42b50f82700d87f13edadcbca,FOX incubator (MIS-FOX)
RVRS,2021-12-02,1.36791567,HARMONY,$0.00,0xadd86749f3053406f31e276293118b846d963385f55f50272f78487b7ba795fc,UST Pool
RVRS,2021-12-02,0.3081614784,HARMONY,$0.00,0x2bf959d19dd6e85a96dbcfcdb19b02092c9a86321ee7f9d2c2c29f6127ff1716,RVRS & ONE pool
MIS,2021-12-02,0.9844440062,HARMONY,$0.00,0xac2b0c43854aaaf55380389e06f6475d189f319304dcee1e5bf4cdb4ac2bc32a,MIS LP claim
MIS,2021-12-02,0.2334797225,HARMONY,$0.00,0x0ec381691ff7e1c2d69951a76fa7c1d66b9b27e6f06b69960da9ad9ae7dde7fa,MIS LP claim
MIS,2021-12-02,0.9711747868,HARMONY,$0.00,0xb688043cec5326c4c40486ee9f9c244ad0878993afc994d2fc044ad67c30733a,MIS LP claim
MIS,2021-12-02,0.3905075757,HARMONY,$0.00,0x9d99fb38a4026c2cd6139a7a992b551c94c1817dd55aa53fcc7f6f635a30dad9,MIS LP claim
MIS,2021-12-02,0.378870699,HARMONY,$0.00,0xcc3576ab1d22531e66dfb00773c950a5cd501d3d2c12327adc543c716923cfb6,MIS LP claim
MIS,2021-12-02,1.930317588,HARMONY,$0.00,0x088fd2cdb1b03b4423362c0f414038ead638e8ef2301427bff631e79afe0b9a8,MIS LP claim
MIS,2021-12-02,0.5852828224,HARMONY,$0.00,0x734d5327034d17eff5c17340d0cc4f59238a396a1a01690c653813fdee7feeaa,MIS LP claim
RVRS,2021-12-20,3.479874823,HARMONY,$0.00,0x4c3b3e8649e97477e046edcf2369db38f4ed8e2bfb62b8ebc900e09b94081988,UST pool
RVRS,2021-12-02,1.423040033,HARMONY,$0.00,0x54106021b5d77c9de9891f449dd7817d6a59cfe45b2cebbcd22dccb1827a2e3e,RVRS & ONE pool
MIS,2021-12-02,2.318280027,HARMONY,$0.00,0x07cdacea0240551f42a2a0c3d04b0c913786154c80ece85122d07f9e37590f93,MIS LP claim
MIS,2021-12-02,0.5308170705,HARMONY,$0.00,0x77a1f8d4d04a5492348f40865d43e332db527ace390b13c71cafaa6e946e0ed8,MIS LP claim
MIS,2021-12-02,1.981909445,HARMONY,$0.00,0xa4bde6f3a2a11f37652aa8c7fa1b4d5aec416021f784dacd79d802f9516bfdf4,MIS LP claim
MIS,2021-12-02,0.9064363463,HARMONY,$0.00,0x405d2a777b04b782de2a154c519051b6184f784bb7f56de0a4efc459d74f20ad,MIS LP claim
MIS,2021-12-02,0.8830052857,HARMONY,$0.00,0xd7a6db5c9871f2e7ff5a7043cc19b158f8daf068d9d0eaa6dbe88067a48c0bcc,MIS LP claim
MIS,2021-12-02,4.573733148,HARMONY,$0.00,0x99706b1abd3bfa0178f02ff1bd7d71db3ad42ac10f3fb71d0b3b6f7735127728,MIS LP claim
JEWEL,2021-12-02,2.43,HARMONY,$0.02,0x42ac31158c296c85c62a50dcda00f5f22ed43eebafae8d60a33db6e6b582d4bc,JEWEL harvest
VIPER,2021-12-02,1.508994492,HARMONY,$0.002,0x49a7411b02b44c2b5af067ff7b949ab237e49102953fb6c594098a3ef7323b52,xVIPER claim
