call,date,amount,coin,from,to,surcharge,basis,confirmation
XFER,2021-09-27,5420.1,ONE,BINANCE,HARMONY,0.001,ONE,$814.00,0x0641605a93760a11002a3282511d24ac7c784ff914ec01635676738aaa424400
XFER,2021-09-27,312.281358,UST,HARMONY,TERRA,0.00037871,ONE,$312.00,0x479867b90bd6b3db5685fa091ad74c86a90f6ea8469e1a7fba70aa071e9c4f09
