sym,date,amt,portfolio,surcharge,reference,memo
SUSHI,2021-11-17,10.1,BINANCE,$0.00,n/a,Flipside crypto bounty
MIS,2021-11-17,2.176279524,HARMONY,$0.00,0x02438f8470ad7c82a0c1fa5f333febf79c5443f7da752cd6d7679782c72d3fb1,MIS LP claim
MIS,2021-11-17,0.3672189059,HARMONY,$0.00,0xe61d7bd13653572256ec3637183664e18a81349b83e615caf4e4a6f2fdb60a0f,MIS LP claim
MIS,2021-11-17,1.375723465,HARMONY,$0.00,0x30406c3c86347679d28fec57b291a1340dad1f0a285ee818861c076c2cbce826,MIS LP claim
MIS,2021-11-17,0.4949635737,HARMONY,$0.00,0xe33292c45dc68d99d63dae7b53fbeedc2e90b4ae5aa8d4f82fa47bc5e73572fa,MIS LP claim
MIS,2021-11-17,1.409129083,HARMONY,$0.00,0xf7b62e3044617ed5c58875a88bd533e1dd5de84605e39a17c18dba468da167ca,MIS LP claim
MIS,2021-11-17,0.3684842085,HARMONY,$0.00,0x8a3e0d0b66ac1fed964220936308eb825c59661373443fd1e80da4345ff463ff,MIS LP claim
MIS,2021-11-17,1.056586316,HARMONY,$0.00,0x80d5407809155d2b50b1bba2f1b17c0f6986dfef42313534cfd1df2c813dfd98,MIS LP claim
RVRS,2021-11-17,0.920217939,HARMONY,$0.00,0x1648add2fcdb4a635ee86da826165d003b20c989438f91f4adb44e769b59bb5b,RVRS incubator (MIS)
RVRS,2021-11-17,3.045442756,HARMONY,$0.00,0xa68d3647961eacdb1956b1ed172338c72ceb5cc2b43e0b65d6165193cc5def61,UST bond
RVRS,2021-11-17,0.7327039661,HARMONY,$0.00,0x0e9c9f903d178c5d46dee8a1cf6650e32f6b875563c95725368032127df4ffe5,RVRS & ONE bond
RVRS,2021-11-17,1.808531587,HARMONY,$0.00,0x4891f2f1ed812af3db355c25de57ba51c35382a8fcf88b048f44c96e21928541,RVRS & UST bond
ORION,2021-11-17,4.44974981,TERRA,$0.05,AAFA8D6AB2FF3C2A4B91C45E26F11C1ACD54E3A8D5EF6AB1E609863F803D067A,Orion airdrop
ORION,2021-11-17,1.43623387,TERRA,$0.05,AC03EA0F93954BD186117A5F518394E6EBDFFBF13B659B197886275B5D4027FA,Orion airdrop
PSI,2021-11-17,0.643624,TERRA,$0.06,494BAD3D95685542E3A9BFBEEB569F32A6E0FD81283DA7D479A380739D515EE0,PSI stake claim
PSI,2021-11-17,13.959751,TERRA,$0.05,D74BE70793CCD269CC8681E42DA801FAB547262E3442C981246B0AAC3AE83D2D,PSI LP claim
