sym,date,amt,portfolio,surcharge,reference,memo
ONE,2021-11-22,5.065,HARMONY,$0.00,0x66fcd500b6ec018245b623f63a9810ec80f05209c1eb5b16e03411a14dfa4055,Validator stake claim
RVRS,2021-11-22,0.4546104629,HARMONY,$0.00,0x93d6590efbbace37bc9e851f72f16373ad83d658004adf8e5559c39718154a7b,RVRS incubator (MIS)
RVRS,2021-11-22,0.8635020822,HARMONY,$0.00,0xd4eae9d2c9bc823b424bb0f6e7306548fa1a7ead4efe0f8f9690bafd08e43a1e,UST bond
RVRS,2021-11-22,2.413955228,HARMONY,$0.00,0x1ac7192660d3cf8149bf51955969720d4311dc05530a49024a6e090b46623afa,RVRS & ETH bond
RVRS,2021-11-22,0.9718908832,HARMONY,$0.00,0x6c4face98c7e98c7b3681717e5786e1fdf18dee1852ff07cb6af44789e2dd7a8,RVRS & ONE bond
RVRS,2021-11-22,2.324956741,HARMONY,$0.00,0x98aceb6eeea954d08e97c3fa6f2f429b6f513612a003d1d4f905304aaef468d7,RVRS $ UST bond
MIS,2021-11-22,0.2955145294,HARMONY,$0.01,0x078cfba6794af1ef0b4a12a3dad9ba68e74b5282422b95c93541642f821caffc,MIS LP claim
MIS,2021-11-22,0.08765689482,HARMONY,$0.01,0x5ae9b91412fcc4c722c6d0769733d5c9bb39c998e8d4a9970ad86167c63bc7c9,MIS LP claim
MIS,2021-11-22,0.2383729022,HARMONY,$0.01,0x46ce7eb2e1900f83a9a9c96c1d88b1f6a7b924d379b4fa97d1b74ccfbb14933e,MIS LP claim
MIS,2021-11-22,0.154272525,HARMONY,$0.01,0x6885c1008de0089d5a0264476fc26f35de878e2f9213b057fea7b22a5b5b01d0,MIS LP claim
MIS,2021-11-22,0.3442388679,HARMONY,$0.01,0xc2588027a4a46efb97b3d4719d2282d162f3be5e066af015c14d197b1ce99ba7,MIS LP claim
MIS,2021-11-22,0.1055555725,HARMONY,$0.01,0xef6dde6d55129ee4524594b397600f1f3531cee9442c8ce57a7313ac27be4c80,MIS LP claim
MIS,2021-11-22,0.760662272,HARMONY,$0.01,0x79197e0ceb9430bfbe74da9a3d6a97f26c02eec50a368d8d561f25cabb53c5c9,MIS LP claim
ANC,2021-11-22,0.161629,TERRA,$0.05,376634BF46904972FEF51AB996EE36D8BF2370E42E6B351B1A4F56648A09B4F5,ANC airdrop
PSI,2021-11-22,109.400648,TERRA,$0.03,51E59F88E11592BDAA2855B1621CAC66B4A0891672FA2466001FCFFBA76738F7,PSI airdrop
RVRS,2021-11-22,0.1838870491,HARMONY,$0.00,0xb124790eaeb50a487f2ad7ac0ee554530dd467219fac97cf2e9d08a88832d7b8,RVRS incubator (MIS)
FOX,2021-11-22,0.102730358514484744,HARMONY,$0.00,0xcf5100948836088948d2961203851abb7d63482a2c2ed764f3613352072029c9,FOX incubator (MIS-FOX)
MIS,2021-11-22,0.1317274163,HARMONY,$0.00,0x2fe96b06038e18bfa1c1643dec18cf8aa2653f4f8d5cb9481d206a35637227b2,MIS LP claim
MIS,2021-11-22,0.3677667698,HARMONY,$0.00,0xd1faf440ee757d045e0ca10859b108d74b8c9c8d9467ab0fe7bc8e63cb005fef,MIS LP claim
MIS,2021-11-22,0.2318552357,HARMONY,$0.00,0x153cb5d2b60d11bd5fac20defde8317738a7c3bc2c6fa724c65eb83e64aa02bc,MIS LP claim
MIS,2021-11-22,0.5221418841,HARMONY,$0.00,0x9e131560414b6fffa763569cb5684284b06492490a943790204da0e12361ebf6,MIS LP claim
MIS,2021-11-22,0.1588918969,HARMONY,$0.00,0xf06881e4f9ed32bcccdfdbf1ddd7a7732bffc446d67c2d787325638a9f6f95e0,MIS LP claim
MIS,2021-11-22,1.141215809,HARMONY,$0.00,0xf32c3f66f7e923032ea507c01badaabc12e6c5bfc9402158c6ac7750ba438367,MIS LP claim
MIS,2021-11-22,0.4472106399,HARMONY,$0.00,0x31c314a48f104020f4f0e0fdbbd57c284bbcf9adda70a37efbbf04a99f1240ab,MIS LP claim
RVRS,2021-11-22,1.343989723,HARMONY,$0.00,0xdc3e6a707081f376f0bf3cd2cc7925e393c9863022cfb264cbdc6dab253faef4,UST bond
RVRS,2021-11-22,0.778612623,HARMONY,$0.00,0x34ba8bc59983ddba991f8a0607af6c3d035dcf8535735ec55fc5b3b96472c1fd,RVRS & ETH bond
RVRS,2021-11-22,0.3214653856,HARMONY,$0.00,0x6c6e9638e5d4291ccb6b408c2e5bcb3b87d145d67e3b0c158449d71be3a7201b,RVRS & ONE bond
RVRS,2021-11-22,0.7698357593,HARMONY,$0.00,0x31507c732d0c60cae66e609d9dd8d7897d53a144f6bd5692af690f9f1e7d3744,RVRS & UST bond
