sym,date,spent,surcharge,amt,call,portfolio,reference
SOL,2021-08-18,$50.00,$0.25,0.61,BUY,BINANCE
LUNA,2021-08-18,$100.00,$2.99,3.2457,BUY,COINBASE
LUNA,2021-08-18,$100.00,$2.99,3.34699595,BUY,COINBASE
