sym,date,amt,portfolio,surcharge,reference
STT,2021-09-24,8.3000081,TERRA,$0.55,71EA0BE41FBC4C76E7718A941ACBFA41D6014222D371A432349C1A17B71C3E52
ANC,2021-09-24,7.341929,TERRA,$0.76,13C00B3DB8559685A138C8B9C677077ED878C087BD35E727EF48E9071F7D4756
