sym,date,amt,portfolio,surcharge,reference,memo
KUJI,2021-12-04,1.52182,TERRA,$0.04,04DCA351E4B78CDA9D88DA35DF264D6B2B24C4A8144B16C1B1E0790B02F57ADD,KUJI LP claim
bETH,2021-12-04,0.026345,TERRA,$0.09,69DB556168F5AC47890C78AA3CB6949F7D5AF3A21A548BE5BFFCF20429E8B19F,KUJI bETH liquidation
MIR,2021-12-03,18.18,TERRA,$0.03,EEFD8D1A471C0735A549A7C18ED46A456448B932BB8050B7EFDE86986AB76E3E,Flipside Mirror bounties
ANC,2021-12-04,7.00938,TERRA,$0.25,36A830A9129937B3A6DBA3831797506E8FDD7591FE50810B3B08478E2EF43589,ANC loan yield
APOLLO,2021-12-05,1.817686,TERRA,$0.75,67638A0D48DB2C27EC7AD8D6F8076FCB53F2AC7B94CAABD9F06BC680C6F59EE8,APOLLO LUNA airdrop
SUSHI,2021-12-03,9.4,BINANCE,$0.00,n-a,Flipside SUSHI bounties
VIPER,2021-12-04,1.986273128,HARMONY,$0.00,0xe9947f02a4d27217b55b1078d5317251858e447c72697848fdb7ef9b85818b91,xVIPER pool
TRANQ,2021-12-04,1.767322057,HARMONY,$0.00,0xe9f1f059ed3a7baed7efb2eb7d345d58b7f5eda8bab7b373083777f30c0511cf,xTRANQ stake
MIS,2021-12-04,2.810325548,HARMONY,$0.00,0x8b3d62507848b6c38dec75a627de99bfbb73cf9d90327563fc55dd8e22fa0aa2,MIS LP claim
MIS,2021-12-04,0.6789812276,HARMONY,$0.00,i0x4aa1e0f4e15dc738cfcb9838f0d3634a5ced9b7f6b9798337d9aa27bfb0d9fdd,MIS LP claim
MIS,2021-12-04,2.768271616,HARMONY,$0.00,0x17cf9473762e1cc13d68352cef8d20c7ae6cb3755682399aa86f2d86d83477b3,MIS LP claim
MIS,2021-12-04,1.225339146,HARMONY,$0.00,0xceafeb6af1f3adfa010b37f016e19019152956f5c5643499545a094abf1a17ef,MIS LP claim
MIS,2021-12-04,1.195116698,HARMONY,$0.00,0x0270c7ccca66650fef538f9b557fb416b1070c206df2f9e84cf98bb5eaabb8fc,MIS LP claim
MIS,2021-12-04,5.51819643,HARMONY,$0.00,0xf7554b8e02ff30713049dbd416e63cb7a27089e184301a1bcd4a65d36d19269f,MIS LP claim
MIS,2021-12-04,1.652908095,HARMONY,$0.00,0x8ff2691fffae16eb1393887a16bd700316438ee081fad881d81493fff9f3d7c6,MIS LP claim
APE,2021-12-05,133000.0003,HARMONY,$0.00,n-a,Twitter prize
JEWEL,2021-12-04,2.631935362,HARMONY,$0.00,0xed85b9bdf6dd849b7edc2ffddefccaf14d8c28c1478ef0c8813031073650acf5,JEWEL harvest
