call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-12-04,251,ONE,BINANCE,HARMONY2,0.001,ONE,$50.00,0xe9284a60f1dd6366eb8a921ae78cc1ac8f43a774a545965370fad4a9ab051f95
XFER,2021-12-04,500,UST,TERRA,HARMONY2,1.234788,UST,$500.00,840255985C061F2EAE79BEB93D45B11F1C65533A5ECF9392F7BB43634A628276
XFER,2021-12-04,49.29434191,VIPER,HARMONY2,HARMONY,0.0000381,ONE,$50.00,0xb13e20c21008d844c5120a36db7fde8aa832077093ec08d8b65c065f547ead52
XFER,2021-12-04,1649.663448,UST,TERRA,HARMONY,1.414548,UST,$1650.00,E5317AFB463FC8E019B72F9488CC5851813906A00BFC35F9C362F459F0682C27
XFER,2021-12-05,99.83674465,BUSD,HARMONY,HARMONY2,0.000025365,ONE,$100.00,0xe5e17562f44b8f84f5cf3b3bc1262a185f4c6025913ea96ca196a27e15b20c6b
