call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-18,1.10905271,AAVE,COINBASE,IPHONE,0.00620763,AAVE,$400.00
XFER,2021-08-19,0.1132466,ETH,COINBASE,IPHONE,0.00064645,ETH,$350.00
