EVENT_TYPE
feed_delegate
create_validator
aggregate_vote
proposal_vote
delegate
execute_authorization
aggregate_prevote
redelegate
instantiate_contract
grant_authorization
from_contract
message
swap
withdraw_rewards
execute_contract
transfer
submit_proposal
withdraw_commission
proposal_deposit
set_withdraw_address
unbond
store_code
edit_validator
migrate_contract
