sym,date,spent,surcharge,amt,call,portfolio,reference
LIT,2021-07-17,$100.00,$2.99,0.80986125,BUY,COINBASE,HQPXL6VS
FIL,2021-07-17,$100.00,$2.99,2.11497753,BUY,COINBASE,TJQY4ZB8
ADA,2021-07-17,$100.00,$2.99,82.827667,BUY,COINBASE,QHMPSSTD
