call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-11-27,1.580788,LUNA,HARMONY,TERRA,0.000227417,ONE,$100.00,0x8846bfdbd9648a90084f1ce1c1a962238ef0b8fdcb931895c5457516c176f4e9
XFER,2021-11-27,250,UST,HARMONY,TERRA,0.000227417,ONE,$250.00,0x9514655ded676d7824fa4eb0134278865b661ac18712c99f4e3eca8152a6aeb6
