sym,date,spent,surcharge,amt,call,portfolio,reference
SOL,2021-09-01,$50.00,$0.25,0.43,BUY,BINANCE,703f4e904c8a440b898ac5a76cd8f4bf
ONE,2021-09-01,$50.00,$0.25,403.1,BUY,BINANCE,fea6fe90e0154f63ac6a29735110758a
ZRX,2021-09-01,$50.00,$0.25,44.27,BUY,BINANCE,af6bb8b3d7044467b35f09932ff60cc4
RVN,2021-09-01,$50.00,$0.25,368.7,BUY,BINANCE,056dace4b8324bacbb7bb2846ad36009
BTC,2021-09-01,$50.00,$0.25,0.00102,BUY,BINANCE,19f57e3c4aef4e9cac068de7b3ec86fd
DOGE,2021-09-01,$50.00,$0.25,168,BUY,BINANCE,04be266921334fa0a06c17c730b4a7a1
ETH,2021-09-01,$50.00,$0.25,0.01308,BUY,BINANCE,d0bcffdf996b4ded943f52c8ca78965e
BNB,2021-09-01,$50.00,$0.25,0.1,BUY,BINANCE,d0bcffdf996b4ded943f52c8ca78965e
