call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-12,37.59472901,MIR,COINBASE,IPHONE,1.03319908,MIR,$200.00
XFER,2021-08-12,36.56153,MIR,IPHONE,TERRA,0.00196255,ETH,$200.00
