sym,date,amt,portfolio,surcharge,reference,memo
SPEC,2021-11-25,2.665591,TERRA,$1.03,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC SPEC stake claim
SPEC,2021-11-25,0.09286,TERRA,$0.00,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC TWD stake claim
ANC,2021-11-25,0.030599,TERRA,$0.00,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC ANC stake claim
SPEC,2021-11-25,0.280145,TERRA,$0.00,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC VKR stake claim
MIR,2021-11-25,1.371791,TERRA,$0.00,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC MIR stake claim
SPEC,2021-11-25,0.125471,TERRA,$0.00,4D7C61DF42ACBB49D5A69F5BA051260C49C704ECA333F8881A72EA49DF13C9FA,SPEC PSI stake claim
ANC,2021-11-25,20.289316,TERRA,$0.25,1C21A142BB7D717547EEE9E390819D140A86803A8792E9E92864FD9C5E0BE5D5,ANC loan claim
MIR,2021-11-25,3.267658,TERRA,$0.20,2B79195FDA12E2AD679945CA5F7CE8563C47A38A110D9A6EA605C9967E0B156E,MIR stake claim
TFLOKI,2021-11-25,23.800145,TERRA,$0.40,5F62BA9C5BD556F8519FE1C42243F7D5313496E4A38F37861F9D182F20824BAB,TFLOKI LP claim,
ORION,2021-11-25,0.31601712,TERRA,$0.05,7DE695B39EEC85EF0D256F5641CF475836532C0C0E23F2E472BBB6EB6A7F8454,ORION LP claim
RVRS,2021-11-25,,0.02267851219HARMONY,$0.00,0x40b15781c02353c68a37a4b89b303be88bbfb9049fc82a54d668401f091ef45e,RVRS & UST bond
RVRS,2021-11-25,1.237144436,HARMONY,$0.00,0x66c207b5068297140f61e339eeb0f8ff19667f278950d8062bb9fdb20fb4d52a,RVRS & ETH bond
RVRS,2021-11-25,3.087669534,HARMONY,$0.00,0xff8bbb30ea1b8a6a0076067d773408298979ad91e27cd9edc5ebf6c36313c748,UST bond
FOX,2021-11-25,0.1548827182,HARMONY,$0.00,0x3fee8f60b82c1b13972ac8629d299d7f874937a02ddc87cbc5a80e21f78213ef,FOX incubator (MIS-FOX)
MIS,2021-11-25,2.302869759,HARMONY,$0.00,0x183524c466160d74efe044d27d88219db62b6c6c5bfb6dfed488d64d73ded6d7,MIS LP claim
MIS,2021-11-25,0.7429820196,HARMONY,$0.00,0xd5f05c957a7526717c36b8dea838fc3f9ecc58447abc824255225e3b4d7af3b6,MIS LP claim
MIS,2021-11-25,2.260406446,HARMONY,$0.00,0xd8d5ce757a79b22bae27d36d6e7fa2a3c04e0e40a49b9beb5f828221454ff565,MIS LP claim
MIS,2021-11-25,1.148845103,HARMONY,$0.00,0x6f33d8f1442393ee5f3a087a214e27f334a7d0fbc986307b8ceab37aec3a960d,MIS LP claim
MIS,2021-11-25,2.673878022,HARMONY,$0.00,0x6e0d46a297ec143237b2d4b9a8616715b892e722a2ddbd3e9f6340c56565b815,MIS LP claim
MIS,2021-11-25,0.8535418604,HARMONY,$0.00,0xda52617c3d51f1a699ceb15461a382886eb528f52ac6de15bbf0350c2fce5dc0,MIS LP claim
MIS,2021-11-25,5.732082033,HARMONY,$0.00,0x37f5976261e02d5754f5262b2e3b2707e24d8f840112f86e8e20c63d52c3f4d3,MIS LP claim
JEWEL,2021-11-25,1.127568247,HARMONY,$0.01,0x77dcf150737415f6faf686d74e90e77de4f4503900496c99295f9bb7afe38487,JEWEL harvest
