sym,date,amt,portfolio
ALGO,2021-07-01,0.024093,COINBASE
AMP,2021-07-01,3.73511944,GEMINI
ETH,2021-07-01,0.00021918,GEMINI
UMA,2021-07-01,0.01571339,GEMINI
MATIC,2021-07-01,0.04250321,GEMINI
BAT,2021-07-01,0.53289576,GEMINI
1INCH,2021-07-01,0.0380178,GEMINI
DOGE,2021-07-01,1.44487703,GEMINI
MKR,2021-07-01,0.00007559,GEMINI
COMP,2021-07-01,0.00102894,GEMINI
LINK,2021-07-01,0.02840741,GEMINI
GRT,2021-07-01,0.3547065,GEMINI
SUSHI,2021-07-01,0.03007849,GEMINI
UNI,2021-07-01,0.01836249,GEMINI
FIL,2021-07-01,0.00572468,GEMINI
ZRX,2021-07-01,0.20524254,GEMINI
OXT,2021-07-01,0.60129439,GEMINI
AAVE,2021-07-01,0.00015107,GEMINI
MANA,2021-07-01,0.41040214,GEMINI
LTC,2021-07-01,0.00311478,GEMINI
