call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-13,71.29610892,UST,COINBASE,IPHONE,5.81624672,UST,$0.00
XFER,2021-08-13,65.479862,UST,IPHONE,TERRA,0.00204265,ETH,$0.00
