sym,date,amt,portfolio,surcharge,reference,memo
ONE,2021-11-18,5.6887,HARMONY,$0.00,0x9ba0f4f1955a7450b6896b06d9f4ab3e2170d6c6684976870a7a51b65ff8805d,ONE validator stake claims
MIS,2021-11-18,1.304686469,HARMONY,$0.00,0x8ebe261b01bfbfbb4d2006c2ee75f57acafb51c7351b8346347bb1dac16622fa,MIS LP stake
MIS,2021-11-18,0.3788710081,HARMONY,$0.00,0x11f1fd514815f63d44384cae7d778458b79fa897e1254b4a412a07c18dc01467,MIS LP stake
MIS,2021-11-18,1.346214727,HARMONY,$0.00,0xdc368a72c822628a3f0e8facdf68594777b5ef0c479363cf76cc1d6a8c840dec,MIS LP stake
MIS,2021-11-18,0.629150052,HARMONY,$0.00,0x66e2f1b8c2942a679391a12c4ad2d8be962bb5e835650a1a4f9986353887b90d,MIS LP stake
MIS,2021-11-18,1.877403548,HARMONY,$0.00,0xa43f3e57b2c947071ddcc27e0d070a03f9bc504f911b24e94ae19f0d06299e58,MIS LP stake
MIS,2021-11-18,0.4631948496,HARMONY,$0.00,0xa008a79fe83e4d4fc49a53ec118364f9536fe72bd79959a770fbc9614f45e04c,MIS LP stake
MIS,2021-11-18,2.900015661,HARMONY,$0.00,0xedd43c70e94e71949f5f7b702bd571bc57a31e51bf4629ef037f2297b03800f7,MIS LP stake
FOX,2021-11-18,0.2902670836,HARMONY,$0.00,0xce60f900c4713f12675b63eef1629d4c69173ba4fbed0336d2d239966fe348a7,MIS-FOX incubator
RVRS,2021-11-18,1.14581969,HARMONY,$0.00,0xd4eca99e8ef316debe8238887d57e594197e3d4865d9709022b075d417b2fd81,RVRS incubator (MIS)
RVRS,2021-11-18,3.813017709,HARMONY,$0.00,0xcaa17cd98faacf654d33e4cb6ce13bb554f0ee2223760149de5ba38abfb8ed7f,UST bond
RVRS,2021-11-18,0.9214509075,HARMONY,$0.00,0x0d24ff251ed41781f683a6d16266783e60712f2ab84f8e0a08b188437acddb2f,RVRS & ONE bond
RVRS,2021-11-18,2.227570251,HARMONY,$0.00,0xa4be94b58064a5774ed67e4067a39b3be026f5f2de86ab9352dd23244de43f2e,RVRS & UST bond
