call,date,amount,coin,from,to,surcharge,basis
XFER,2021-07-21,0.045302,ETH,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,3.64945396,FIL,GEMINI,COINBASE,0.00,$200.00
XFER,2021-07-21,24.97333352,UNI,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,2586.341431,AMP,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,0.04700914,MKR,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,12.03316071,SUSHI,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,24.97333352,UNI,GEMINI,COINBASE,0.00,$100.00
XFER,2021-07-21,12.44043318,UMA,GEMINI,COINBASE,0.00,$200.00
XFER,2021-07-21,1397468404,ZRX,GEMINI,COINBASE,0.00,$100.00
