sym,date,amt,portfolio,surcharge,reference,memo
MINE,2021-11-16,1.729862,TERRA,$0.01,9B7E7443EA00E0111298B7E0D7BE34D112E923BE77A61B29DB598F5336A6E1C3,MINE airdrop
MIS,2021-11-16,1.041174611,HARMONY,$0.00,0xc68c7871e6393cc2c9b708c713417a38752bba72000bdfa795387ab5d264013f,MIS LP claim
MIS,2021-11-16,0.3545085673,HARMONY,$0.00,0xebf4c0cdcb3095518ede3c743e0bd17abd650c178d78fd6a6883227d85b6ae4e,MIS LP claim
MIS,2021-11-16,1.453760722,HARMONY,$0.00,0x89087c23f93fc99d4a661352eda986408801aef9e0d939c2007e5a5a4462b6b3,MIS LP claim
MIS,2021-11-16,0.491724646,HARMONY,$0.00,0x0e757d00858d1e2ed445182aa2175b171360561b1bf7e0b6802aa6870387dfd2,MIS LP claim
MIS,2021-11-16,1.140560062,HARMONY,$0.00,0x8d2f61d49043cf06a80ed68d3436252eb24aeeb1953f119671db48f50cea3573,MIS LP claim
MIS,2021-11-16,0.3721766316,HARMONY,$0.00,0x508ca322756a5e2410eea7324e95e94cac25de06c87990c0148f6bacc6b29990,MIS LP claim
MIS,2021-11-16,2.229281879,HARMONY,$0.00,0xcc33d6516ada6c6ee249f47fcea828dc66fe661927320e70f0df7879d8ae4be1,MIS LP claim
RVRS,2021-11-16,0.7822934777,HARMONY,$0.00,0x4ec642bf4a3902cae03b20e88951574c4ea9b05fc9e7418540f1013665a6db64,RVRS incubator (MIS)
FOX,2021-11-16,0.1290391921,HARMONY,$0.00,0x1f4d5ea6c17b087856850124afdfbb96085477a84267780698fd89091a6b7f23,FOX incubator
JEWEL,2021-11-16,5.2,HARMONY,$0.00,0xcff2c28caac5bdd3dc54d7297c288db6bb7ff39a18a1e329239dcb296f0b80eb,JEWEL harvest
RVRS,2021-11-16,2.599946714,HARMONY,$0.00,0xa3c68b223d33c6144d5df6498c73d2f541924f11422189429c4279360784c64d,UST bond
RVRS,2021-11-16,0.6308234092,HARMONY,$0.00,0xf4804cbc265001f2577c6a81c52d66ccd25d518f53420596b34524254965d010,RVRS & ONE bond
RVRS,2021-11-16,2.771123344,HARMONY,$0.00,0xa7d49f2267ecc585bdc63916c0cb0520ab115c44b69b82721e0fdd521c524aaa,RVRS & UST bond
ANC,2021-11-16,11.0103,TERRA,$0.25,C613579E6F32FF7471F7FF5823793E9C974C17F3CA05C51BB4E08C1317410E7A,ANC Loan payout
