sym,date,amt,portfolio,surcharge,reference,memo
RVRS,2021-11-26,3.321913723,HARMONY,$0.00,0xb102c315b54864563d057264986165c3eea0948b48b7122f0c68cd5ebca9c464,UST pool
RVRS,2021-11-26,0.7508483595,HARMONY,$0.00,0xd2ce3d2571365ea7bd5424704617ef0cd77ac5f91844c881ae1380919fe802af,RVRS & ONE pool
FOX,2021-11-26,0.1817191568,HARMONY,$0.00,0xfb86961f10b67928c15cbb8fd3df3edfbc06f6c284d16e21a1252977287cdf4e,FOX incubator (MIS-FOX)
MIS,2021-11-26,1.15145076,HARMONY,$0.00,0x9443f7cf64bfee34fa5988907db8b51ffb0a95053ec54884452b76d81d825dae,MIS LP claim
MIS,2021-11-26,0.3537110995,HARMONY,$0.00,0x9b421122de0d698d73dbf022e94e8faf1b57f97c0cf0ea1e3d63448cd0a7773a,MIS LP claim
MIS,2021-11-26,1.417715461,HARMONY,$0.00,0x761a3ee54dc22957b38a96b3a311341a6c08c1b1a011ffe97dba078b189e3f5d,MIS LP claim
MIS,2021-11-26,0.5134549203,HARMONY,$0.00,0xc43a1e8a7c1b7f80850043d1b3489f25112d1552a446148693319b71e58c74fb,MIS LP claim
MIS,2021-11-26,1.15210381,HARMONY,$0.00,0xdb6bc924719a2b89c534e2eba2165a61f496731d24fa565b423b22b698fb664c,MIS LP claim
MIS,2021-11-26,0.3259565375,HARMONY,$0.00,0xd0cb7e987905e02539aa97ed4c20d60ad8809f2fde66ae8dd0371a0cf1cbbdf4,MIS LP claim
MIS,2021-11-26,2.636805314,HARMONY,$0.00,0xe8be30b4370bb42385fc3518d32d7b9027e300b210d0ed8313d0ce3775d3b654,MIS LP claim
MIS,2021-11-26,0.7508483595,HARMONY,$0.00,0xd2ce3d2571365ea7bd5424704617ef0cd77ac5f91844c881ae1380919fe802af,MIS LP claim
VIPER,2021-11-26,0.595165813,HARMONY,$0.00,0x0deaed394b080767fb9be6ee0875c546b074fb00421c11537a31470ea2043645,VIPER-SUSHI LP claim
VIPER,2021-11-26,1.49909398,HARMONY,$0.00,0xe8cf0aba22d6b66aa3082067a1544e518ed57e2f063a37ebd7b51820ee74abf1,xVIPER stake claim
JEWEL,2021-11-26,1.192390494,HARMONY,$0.01,0x8eac0ed45b5612c08debe710bfd8f4a1ff061f0925f525477717451122693159,JEWEL harvest
ANC,2021-11-27,4.047953,TERRA,$0.25,C2D016A6CC98F5EE687C039ED55CD72292EEE68EA8571741B4971AF976D6ADAA,ANC loan claim
