call,date,amount,coin,from,to,surcharge,coin_surcharge,basis,confirmation
XFER,2021-11-19,490.220319,BUSD,THORCHAIN,BINANCE,0.000075,BNB,$490.22,74FBD44BEEAAA7561DA2F4EBDA13E1A1483010AF3B7BB480058D1DDB5BDB0CA4
XFER,2021-11-19,1548.399,ONE,BINANCE,HARMONY,0.0067584,ONE,$402.58,0xe41a44a08bffb007a768edac8d1cedd65f6e38cb47ffebe00cc0a8ddea18d01a
XFER,2021-11-19,3.125942576,SUSHI,HARMONY,HARMONY2,0.00221556,ONE,$28.18,0xfbe42318e4b386ee6eed9d3257b77d3e910ab10ed3db068eab1751fbaaaf3a8e
XFER,2021-11-19,38.0894,ONE,HARMONY,HARMONY2,0.00135168,ONE,$9.49,0x26a3d0d729745f2e6bf878d28e6d58931eeb8d5ef6ffe666aa43ab3d66248b6f
XFER,2021-11-19,890,ONE,HARMONY,HARMONY2,0.0067584,ONE,$231.40,0x1a1c3570181e071a758b9bd727d35aa685c34fd91c7b242ea6c5eb5e429b7393
XFER,2021-11-19,27.13032958,VIPER,HARMONY2,HARMONY,0.0067584,ONE,$25.58,0xade3589809cbad64613756d789e5e60faa9bbf1c20a380c5cc0b3c98e514d9bb
