sym,date,amt,portfolio,surcharge,reference,memo
AAVE,2021-11-15,0.16,BINANCE,$0.00,n/a,easy Flipside AAVE bounty
MIS,2021-11-15,0.8621550014,HARMONY,$0.01,0xe6efc65558c2fdb4c9b3cc576cb1556c162f07583f3fd27a76095c128c629d63,MIS LP claim
MIS,2021-11-15,0.3113792489,HARMONY,$0.00,0xa58d0e047aab0b9f48e489d23c20f17984d5d7aef1e16de54d1ac56c82cca0aa,MIS LP claim
MIS,2021-11-15,1.007726446,HARMONY,$0.01,0x607787a548c1eada71c49ddc0ddb249e3a7ad5aef96c2989f7a70118f49eec86,MIS LP claim
MIS,2021-11-15,0.4174915737,HARMONY,$0.01,0xc268548632f0cbd650ab79c86076d51c70062b15bbc4954fc7cea77e818578da,MIS LP claim
MIS,2021-11-15,1.103282562,HARMONY,$0.00,0x5455ecf3d972bf0de3e2d0f90becd57fd3401dbfea67893a0e5434ced011f8cd,MIS LP claim
MIS,2021-11-15,0.3197390449,HARMONY,$0.01,0xcbeb6361bdc43e04c7a094934eda593f949c9c04a9fabe4ee65566b60aad3a21,MIS LP claim
MIS,2021-11-15,1.917448182,HARMONY,$0.01,0xcf24b3632507bbed4df29131fbcbeca0346dd1ce05f9f5afd4350c8147dea9a8,MIS LP claim
FOX,2021-111-15,0.4768825391,HARMONY,$0.01,0xd82170f3cf965c392d7378e69530bb521a536134e7dc4237af84831fc358fbb7,FOX incubator
RVRS,2021-11-15,0.6811859227,HARMONY,$0.00,0x711e52bede7add4902e8b7d910cf4838ed6e9286353a18f06b48d634942b24e5,RVRS incubator (MIS)
RVRS,2021-11-15,1.116489254,HARMONY,$0.00,0x587c93db472d2e4d3edb08329337b61d32b580e0596c71a970276002ef178716,RVRS incubator
RVRS,2021-11-15,0.1275451837,HARMONY,$0.00,0xfdc31523833be09583875bce11c2750c3c56d84b6fb0a754d536122075974c55,RVRS incubator (MIS)
RVRS,2021-11-15,0.3301606499,HARMONY,$0.01,0x14cdba26a4ddb5a3655a5658e77ddf088d30d974e07cae95fb876dde401ceaf9,RVRS incubator
RVRS,2021-11-15,6.215994738,HARMONY,$0.01,0x4c85ec4bca81019be942e7c05f027509aea590ddf004b1e995f7584487f801cd,UST bond
RVRS,2021-11-15,1.449379449,HARMONY,$0.00,0xc7ba81d8efcab450247dd301bbfb8f61fec6b41f762621debb511ac8656db047,RVRS & ONE bond
RVRS,2021-11-15,0.04217598819,HARMONY,$0.00,0x67033b3a182f62c1729b07090b3876caa135efb29d1f9ec6e6dca19f4ecb2ac6,RVRS incubator
RVRS,2021-11-15,0.1146001069,HARMONY,$0.00,0xe4d2b34eb487f2b429d793bc212aa3c5322bfd3399e467336af9f253a7769caf,RVRS incubator
