call,date,amount,coin,from,to,surcharge,basis,confirmation
XFER,2021-10-07,110,UST,TERRA,IPHONE,0.530565,UST,$110.00,1E3E9A2402E985D40C4EA97C4A472D1F1261D94303AFEDC9FF7F756E53AA3F97
XFER,2021-10-07,110,UST,IPHONE,TERRA,0.005565380763,ETH,$110.00,0x76e625e6065c35d9a91091dc21617f0fd348bfc00947dbc687b243307f612daf
XFER,2021-10-09,2.820636,ATOM,COINBASE,BINANCE,0.0025,ATOM,$100.00
XFER,2021-10-09,11.299754,ATOM,COINBASE,BINANCE,0.0025,ATOM,$400.00
