sym,date,amt,portfolio,surcharge,reference
VKR,2021-10-14,40,TERRA,$0.68,6AD4ECF02528C170D46108718F7DF07D76911C6D2DE288395AD2044DF669A00D
PSI,2021-10-14,701.02,TERRA,$0.08,E11B0223143237EDC53D1A8C529100479B01455E7086C9A09FC2651D727D2903
ANC,2021-10-14,2.419593,TERRA,$0.762,596B6CBA4948FB7FF0D03216F4437190A630BACA8212D1C9E69CA2100538FE0B
