call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-18,0.30905271,AAVE,IPHONE,AAVE,0.0119039,ETH,$100.00
XFER,2021-08-26,68.34494993,MATIC,COINBASE,IPHONE,0.00276268,ETH,$100.00
XFER,2021-08-27,68.34494993,MATIC,IPHONE,MATIC,0.01152865,ETH,$100.00
XFER,2021-07-30,60.01,CRV,IPHONE,yearn.finance,0.00745487,ETH,$0.00
