call,date,amount,coin,from,to,surcharge,basis
XFER,2021-06-24,0.02429839,ETH,COINBASE,TERRA,0.000546,$50.00
XFER,2021-06-24,10.43495653,MIR,COINBASE,TERRA,0.22386682,$50.00
