call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-23,30.56816757,LUNA,COINBASE,IPHONE,0.00131462,ETH,$700.00
XFER,2021-08-23,30.568168,LUNA,IPHONE,TERRA,0.00164213,ETH,$700.00
XFER,2021-08-23,27.63978192,MIR,COINBASE,IPHONE,0.0025808,ETH,$100.00
XFER,2021-08-23,26.539782,MIR,IPHONE,TERRA,0.0030039,ETH,$100.00
XFER,2021-09-23,19.82785227,LUNA,COINBASE,IPHONE,0.00257254,ETH,$300.00
XFER,2021-09-23,19.827852,LUNA,IPHONE,TERRA,0.00304395,ETH,$300.00
