sym,date,spent,surcharge,amt,call,portfolio,reference
LTC,2021-07-18,$100.00,$2.99,0.79570821,BUY,COINBASE,K342MVM4
FIL,2021-07-18,$100.00,$2.99,2.052669,BUY,GEMINI
