sym,date,spent,surcharge,amt,call,portfolio,reference_code
UMA,2021-06-06,$100.00,$2.99,6.407233,BUY,GEMINI
MATIC,2021-06-06,$100.00,$299,62.495241,BUY,COINBASE,SVXRUWL5
