sym,date,amt,portfolio,surcharge,reference
ATOM,2021-10-09,0.007748,COINBASE
MIR,2021-10-08,24.2,TERRA
LUNA,2021-10-06,4.72,TERRA
ANC,2021-10-07,10.977526,TERRA
