call,date,amount,coin,from,to,surcharge,basis,confirmation
XFER,2021-10-01,2410.799,ONE,BINANCE,HARMONY,0.0025,ONE,$400.00,0x0d07599582d59bda8edd7f919c6d98c3da858b95e26636d2dfb88aafefdcb5aa
XFER,2021-10-01,153.082787,UST,HARMONY,TERRA,0.00037871,ONE,$150.00,0xa66bb70b2306871a7f41ebf12bfbcffef947383de2a0a14582dd0acf9079d083
XFER,2021-10-01,1931.0,ONE,BINANCE,HARMONY,0.001,ONE,$333.00,0x5dd04d5ab48db6dfe2e72be2a56d0b4c5962a8ca1d12dcf4106965ab4ebd3bbc
