call,date,amount,coin,from,to,surcharge,basis
XFER,2021-08-25,2.88031018,LUNA,COINBASE,IPHONE,0.00401451,ETH,$100.00
XFER,2021-08-26,2.88031,LUNA,IPHONE,TERRA,0.00276268,ETH,$100.00
